id,Respondent.Race,White,Black,Jewish,Hispanic,Asian
2250,White,60,30,2,2,2
1040,Black,NA,NA,NA,NA,NA
2027,White,30,30,10,20,20
732,White,50,25,NA,46,20
904,Black,NA,NA,NA,NA,NA
202,Black,NA,NA,NA,NA,NA
894,White,50,20,NA,30,10
1263,White,60,40,25,35,10
1821,White,NA,NA,NA,NA,NA
2255,White,60,40,NA,NA,NA
580,Black,NA,NA,NA,NA,NA
299,Black,40,25,15,20,5
452,White,35,35,45,35,50
2209,White,60,30,20,30,30
961,White,70,20,2,1,5
2092,Black,NA,NA,NA,NA,NA
1311,Other,60,75,50,85,70
881,White,NA,NA,NA,NA,NA
675,Black,65,42,20,90,40
1740,White,70,20,10,10,10
388,White,50,20,20,30,20
2034,White,45,20,5,5,5
172,White,60,70,70,40,40
78,Black,50,50,25,25,25
179,White,NA,NA,NA,NA,NA
1726,White,50,50,40,50,50
2547,Other,50,20,50,20,20
2143,White,50,30,10,30,10
232,White,40,20,10,50,20
297,Black,50,30,10,10,5
1598,Black,NA,NA,NA,NA,NA
1684,White,50,40,30,50,30
599,White,65,20,15,15,15
2071,White,75,70,55,50,40
37,White,55,12,6,15,10
360,White,50,40,30,40,40
209,White,55,30,10,25,10
2534,White,50,10,10,20,10
1722,Black,NA,NA,NA,NA,NA
1838,Black,NA,NA,NA,NA,NA
2127,White,40,15,10,25,20
2241,White,50,30,3,10,5
2041,White,65,20,10,20,15
146,Black,NA,NA,NA,NA,NA
1200,Black,NA,NA,NA,NA,NA
305,White,60,25,20,15,10
2712,White,60,NA,NA,NA,NA
410,Other,30,40,20,60,60
1645,White,40,35,20,15,20
1938,Black,NA,NA,NA,NA,NA
661,White,80,10,40,10,10
1965,White,80,20,NA,NA,NA
2328,Black,NA,NA,NA,NA,NA
2014,White,49,35,20,20,8
798,Black,NA,NA,NA,NA,NA
137,Black,75,75,50,75,50
1957,White,40,40,10,15,5
1374,Black,NA,NA,NA,NA,NA
1380,Black,NA,NA,NA,NA,NA
1119,White,80,50,30,40,30
1494,White,60,40,NA,40,NA
584,Other,NA,NA,NA,NA,NA
1603,White,NA,NA,NA,NA,NA
2601,White,NA,NA,NA,NA,NA
1710,White,50,50,NA,25,30
1367,White,NA,NA,NA,NA,NA
413,White,NA,NA,NA,NA,NA
2409,White,NA,NA,NA,NA,NA
1393,White,NA,NA,NA,NA,NA
1501,Black,70,50,50,75,65
319,White,NA,NA,NA,NA,NA
2810,White,60,30,20,25,30
2161,White,NA,NA,NA,NA,NA
939,White,NA,NA,NA,NA,NA
1943,White,NA,NA,NA,NA,NA
2217,White,NA,NA,NA,NA,NA
2259,White,NA,NA,NA,NA,NA
1877,White,30,30,20,30,25
1885,White,75,5,15,15,5
1293,White,NA,NA,NA,NA,NA
891,White,NA,NA,NA,NA,NA
424,White,70,13,10,15,5
729,White,NA,NA,NA,NA,NA
1863,White,NA,NA,NA,NA,NA
307,White,NA,NA,NA,NA,NA
653,Black,NA,NA,NA,NA,NA
883,White,NA,NA,NA,NA,NA
1665,White,NA,NA,NA,NA,NA
655,White,NA,NA,NA,NA,NA
1825,White,NA,NA,NA,NA,NA
171,White,NA,NA,NA,NA,NA
1305,White,NA,NA,NA,NA,NA
1015,White,NA,NA,NA,NA,NA
1949,White,NA,NA,NA,NA,NA
1255,White,NA,NA,NA,NA,NA
1757,White,NA,NA,NA,NA,NA
2805,White,NA,NA,NA,NA,NA
121,White,NA,NA,NA,NA,NA
2187,White,40,30,10,10,5
2017,White,NA,NA,NA,NA,NA
1615,White,NA,NA,NA,NA,NA
61,White,60,30,40,30,15
1491,White,NA,NA,NA,NA,NA
65,White,NA,NA,NA,NA,NA
1229,White,75,30,20,20,30
428,White,65,5,18,45,20
1193,White,NA,NA,NA,NA,NA
1609,White,80,10,2,3,4
23,White,NA,NA,NA,NA,NA
759,White,NA,NA,NA,NA,NA
1610,Black,60,30,5,4,1
2507,White,NA,NA,NA,NA,NA
83,Black,60,50,30,50,40
1109,White,60,30,1,2,2
945,White,NA,NA,NA,NA,NA
1783,White,NA,NA,NA,NA,NA
1592,White,70,10,2,10,5
1069,White,25,30,15,30,15
2581,White,NA,NA,NA,NA,NA
91,White,NA,NA,NA,NA,NA
